30
3
10
10
10
9.964088283528678 1.079303014805052
9.592185902788886 -0.6651175368307085
11.064515527935589 0.8132429973896091
8.622123516049125 -0.37456466751775236
10.293770186690256 -0.1819313600604495
10.129158520300258 0.7111513703040785
10.201008333415405 0.8775798178965869
8.529054167294854 1.3340211098333923
9.610382290148118 -0.3257996507905539
10.880735661914978 -0.2638143992565686
-13.01579029381686 8.550851359351496
-10.418833457303501 9.822863673856304
-10.704591441514989 10.025368755021052
-7.371273481677435 9.921368447457976
-11.128761999330752 11.226548943508032
-10.787409329114038 9.272072905884517
-11.309666518398831 10.0029755737313
-11.037258751262888 9.212736577986444
-10.27574764165812 8.818290829534776
-10.287986333368604 8.32571456317116
-10.374739016657374 -0.32572860659430136
-9.349144017004516 -2.256146175827243
-9.319349907967625 0.6544428938437157
-9.618515218878569 1.3154940202971013
-10.720374273477166 -0.062000195189088954
-10.992062748918732 -0.43295746685046954
-9.613030364522064 -0.7185758196618945
-9.198222875207897 1.1305189886259457
-10.96288372802409 0.664104803587798
-10.22822247796207 -0.5796641072517397
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
